🥇;ميدالية المركز الأول
🎆;العاب ناريه
🌓;الربع الأول من القمر
🌛;القمر الربع الأول مع وجهه
🐟;سمك
🍥;كعكة السمك
🎣;القطب الصيد والأسماك
🕠;clock530
🕔;clock5
⛳;جولف
🔦;مصباح يدوي
⚜;فلور دي ليز
💪;عضلة
💪🏿;العضلة ذات الرأسين بثني لون البشرة الداكنة
💪🏻;العضلة ذات الرأسين المرن ضوء لون البشرة
💪🏾;العضلة ذات الرأسين المرن ذات لون البشرة الداكن
💪🏼;العضلة ذات الرأسين المرن متوسطة النغمة الجلد
💪🏽;العضلة ذات الرأسين المرنة متوسطة الجلد
💾;قرص مرن
🎴;زهرة لعب الورق
😳;مسح
🛸;الصحن الطائر
🌫;ضباب
🌁;ضبابي
🙏;صلى
🙏🏿;أيدي مطوية لون البشرة الداكنة
🙏🏻;أيدي مطوية ضوء لون البشرة
🙏🏾;أيدي مطوية متوسطة لون البشرة الداكنة
🙏🏼;يديه مطوية متوسطة لون البشرة الفاتحة
🙏🏽;يد مطوية متوسطة لون البشرة
👣;اثار الاقدام
🍴;شوكة وسكين
🍽;شوكة وسكين مع لوحة
🥠;كعكة الحظ
⛲;نافورة
🖋;انخفاض قلم حبر جاف
🕟;clock430
🍀;اربع اوراق برسيم
🕓;clock4
🦊;وجه الثعلب
🖼;الإطار مع الصورة
🍟;البطاطس
🍤;الروبيان المقلي
🐸;ضفدع
🐥;فرخ فقس
☹;وجه أبيض مقطب
😦;عابس
⛽;مضخه وقود
🌕;اكتمال القمر
🌝;البدر مع الوجه
⚱;جنازة الجرار
🎲;لعبة تموت
⚙;هيأ
💎;جوهرة
🧞;الجني
👻;شبح
🦒;زرافة
👧;فتاة
👧🏿;فتاة لهجة الجلد الداكن
👧🏻;فتاة ضوء الجلد لهجة
👧🏾;فتاة متوسطة الجلد الداكن لهجة
👧🏼;فتاة متوسطة البشرة خفيفة
👧🏽;فتاة متوسطة لون البشرة
🥛;كوب من الحليب
👓;نظارة طبية
🌎;أمريكا الأرض
🌏;الارض
🌍;الارض الافريقية
🌐;العالم مع خطوط الطول
🧤;قفازات
🌟;star2
🥅;هدف الشبكة
🐐;ماعز
👺;عاهرة يابانية
🦍;غوريلا
🎓;مجلس الهاون
🍇;عنب
🍏;تفاحة خضراء
📗;الكتاب الأخضر
💚;قلب اخضر
🥗;سلطة خضراء
😬;مقطبا
😺;مبتسم القط
😸;ابتسامة قطة
😀;مبتسما
😃;مبتسم
😄;ابتسامة
😅;ابتسامة عرق
😆;راض
💗;heartpulse
💂;الحارس
💂🏿;حراسة لون البشرة الداكنة
💂🏻;حارس ضوء لهجة الجلد
💂🏾;حراسة لهجة البشرة متوسطة الظلام
💂🏼;حارس لهجة البشرة متوسطة الضوء
💂🏽;حراسة البشرة المتوسطة
🎸;غيتار
🍔;هامبورجر
🔨;شاكوش
⚒;مطرقة واختيار
🛠;مطرقة وجع
🐹;الهمستر حيوان قارض
🖐;يد مرفوعة بأصابع مفلطحة
🖐🏿;يد مع الأصابع مفلطحة لون البشرة الداكن
🖐🏻;يد مع الأصابع spled ضوء البشرة لهجة
🖐🏾;يد مع الأصابع مبسوط البشرة لهجة متوسطة الظلام
🖐🏼;يد مع الأصابع مفلطحة خفيفة البشرة متوسطة الضوء
🖐🏽;يد مع الأصابع مبسوط متوسطة لون البشرة
👜;حقيبة يد
🤝;مصافحة
🐣;تفقيس الفرخ
🎧;سماعات الرأس
🙉;لا تسمع الشر
💟;زخرفة القلب
♥;قلوب
💘;صورة كيوبيد
💝;قلب هدية
✔;علامة الاختيار الثقيلة
➗;علامة تقسيم الثقيلة
💲;علامة الدولار الثقيلة
❣;ثقيلة علامة تعجب القلب حلية
⭕;س
➖;علامة الطرح الثقيلة
✖;إكثار كثيف س
➕;علامة زائد الثقيلة
🦔;قنفذ
🚁;هليكوبتر
🌿;عشب
🌺;كركديه
👠;كعب عالي
🚄;الجانب الدائري
⚡;انطلق
🕳;الفجوة
🍯;وعاء العسل
🐝;نحلة
🚥;اشارة المرور
🐴;وجه الحصان
🏇;سباق الخيل
🏇🏿;سباق الخيل لون البشرة الداكنة
🏇🏻;سباق الخيل ضوء لون البشرة
🏇🏾;سباق الخيل متوسطة الجلد الداكن لهجة
🏇🏼;سباق الخيل متوسطة ضوء البشرة لهجة
🏇🏽;سباق الخيل متوسطة الجلد لهجة
🏥;مستشفى
☕;قهوة
🌭;نقانق
🌶;فلفل حار
♨;هوتسبرينجس
🏨;الفندق
⌛;الساعة الرملية
⏳;الرملية تتدفق الرمال
🏠;منزل
🏡;منزل مع حديقة
🏘;المباني السكنية
🤗;تعانق الوجه
💯;100
😯;اجريت في تكتم
🍨;بوظة
🏒;عصا هوكي الجليد و عفريت
⛸;تزلج على الجليد
📥;علبة الوارد
📨;المغلف واردة
☝;يبرز
☝🏿;مؤشر يشير إلى لون البشرة الداكن
☝🏻;مؤشر يشير إلى لون البشرة الفاتح
☝🏾;مؤشر يشير لأعلى لون البشرة الداكن
☝🏼;مؤشر يشير لأعلى لون البشرة خفيفة
☝🏽;مؤشر يشير إلى لون البشرة المتوسطة
ℹ;مصدر المعلومات
🔤;اي بي سي
🔡;ا ب ت ث
🔠;العاصمة abcd
🔢;1234
🔣;حرف
🎃;جاك يا فانوس
👖;جينز
🃏;مهرج الأسود
🕹;عصا التحكم
🕋;الكعبة
🔑;مفتاح
⌨;لوحة المفاتيح
#️⃣;هاشتاغ
*️⃣;نجمة
0️⃣;صفر
1️⃣;واحد
🔟;عشرة
2️⃣;اثنان
3️⃣;ثلاثة
4️⃣;اربعة
5️⃣;خمسة
6️⃣;ستة
7️⃣;سبعة
8️⃣;ثمانية
9️⃣;تسعة
🛴;دراجة طفل
👘;ثوب واسع فضفاض
💋;علامة قبلة
👨‍❤️‍💋‍👨;قبلة رجل رجل
👩‍❤️‍💋‍👨;تقبيل امرأة الرجل
👩‍❤️‍💋‍👩;تقبيل امرأة امراة
😽;تقبيل القط
😗;تقبيل
😚;التقبيل و العيون مغمضة
😙;تقبيل عيون مبتسمة
🔪;سكين
🥝;فاكهة الكيوي
🐨;الكوال دب أسترالي
🏷;ضع الكلمة المناسبة
🐞;خنفساء
💻;الحاسوب
🔷;الماس الأزرق الكبير
🔶;الماس البرتقالي كبير
🌗;الربع الأخير من القمر
🌜;آخر ربع القمر مع وجهه
⏮;أسود يسار يشير مثلث مزدوج مع شريط عمودي
✝;الصليب
🍃;اوراق اشجار
📒;موازنه
🤛;القبضة اليسرى
🤛🏿;غادر قبضة الجلد الظلام لهجة اللون
🤛🏻;غادر قبضة الجلد فاتحة اللون الأيسر
🤛🏾;قبضة الجلد متوسطة القامة ذات الوجه الأيسر
🤛🏼;قبضة الجلد متوسطة القامة في الجهة اليسرى
🤛🏽;غادر الجلد متوسطة الوجه اليسرى اليسرى
↔;يسار السهم الأيمن
⬅;السهم اليسار
↪;سهم الخطاف الصحيح
🛅;تركت الأمتعة
🗨;فقاعة الخطاب اليسرى
🍋;ليمون
🐆;فهد
🎚;مستوى المنزلق
💡;مصباح
🚈;السكك الحديدية الخفيفة
🔗;حلقة الوصل
🖇;الدبابيس الورقية المرتبطة
🦁;وجه أسد
💄;أحمر الشفاه
🚮;وضع القمامة في مكانها
🦎;سحلية
🔒;قفل
🔐;قفل مغلق مع مفتاح
🔏;قفل مع قلم حبر
🚂;قاطرة بخارية
🍭;مصاصة
😭;تنهد
📢;مكبر الصوت
🤟;أحبك لفتة
🤟🏿;أحبك لفتة البشرة الداكنة
🤟🏻;أحبك لفتة البشرة الفاتحة
🤟🏾;أحبك لفتة البشرة متوسطة الداكنة
🤟🏼;أحبك لفتة البشرة متوسطة خفيفة
🤟🏽;الحب لك فتة متوسطة الجلد
🏩;أحب فندق
💌;رسالة حب
🤥;وجه الكذب
🧙;بركه
🧙🏿;نغمة البشرة الداكنة
🧙🏻;نغمة البشرة خفيفة
🧙🏾;نغمة متوسطة البشرة الداكنة
🧙🏼;نغمة متوسطة البشرة خفيفة
🧙🏽;نغمة متوسطة الجلد
🔍;المجموعة الاستشارية للألغام
🔎;ماج الحق
🀄;ما جونغ
♂;علامة الذكور
👨;رجل
👫;زوجان
👨‍🎨;فنان رجل
👨🏿‍🎨;فنان رجل البشرة الداكنة
👨🏻‍🎨;رجل فنان خفيف لون البشرة
👨🏾‍🎨;رجل الفنان متوسطة البشرة الداكنة
👨🏼‍🎨;رجل الفنان متوسطة البشرة خفيفة
👨🏽‍🎨;رجل فنان متوسط ​​لون البشرة
👨‍🚀;رجل رائد فضاء
👨🏿‍🚀;رجل رائد فضاء داكنة الجلد
👨🏻‍🚀;رجل رائد فضاء ضوء البشرة
👨🏾‍🚀;رجل رائد فضاء البشرة متوسطة الظلام
👨🏼‍🚀;رجل رائد فضاء خفيفة متوسطة البشرة
👨🏽‍🚀;رجل فضاء متوسط ​​لون البشرة
🚴‍♂️;رجل ركوب الدراجات
🚴🏿‍♂️;رجل ركوب الدراجات لون البشرة الداكنة
🚴🏻‍♂️;رجل ركوب الدراجات الخفيفة لون البشرة
🚴🏾‍♂️;رجل ركوب الدراجات متوسطة الظلام لون البشرة
🚴🏼‍♂️;رجل ركوب الدراجات متوسطة ضوء البشرة
🚴🏽‍♂️;رجل ركوب الدراجات متوسطة لون البشرة
⛹️‍♂️;رجل كذاب الكرة
⛹🏿‍♂️;رجل كذاب الكرة لهجة الجلد الداكن
⛹🏻‍♂️;رجل كذاب الكرة ضوء البشرة لهجة
⛹🏾‍♂️;رجل كذاب الكرة متوسطة الجلد الداكن لهجة
⛹🏼‍♂️;رجل كذاب الكرة متوسطة ضوء البشرة لهجة
⛹🏽‍♂️;رجل كذاب الكرة متوسطة الجلد لهجة
🙇‍♂️;رجل ينحني
🙇🏿‍♂️;رجل ينحني لون البشرة الداكنة
🙇🏻‍♂️;رجل ينحني لون البشرة الفاتحة
🙇🏾‍♂️;رجل ينحني متوسطة لون البشرة الداكنة
🙇🏼‍♂️;رجل ينحني متوسطة البشرة خفيفة
🙇🏽‍♂️;رجل ينحني البشرة المتوسطة
🤸‍♂️;رجل
🤸🏿‍♂️;رجل كراطيه لون البشرة الداكنة
🤸🏻‍♂️;رجل كراطيه لون البشرة الفاتح
🤸🏾‍♂️;رجل كراطيه متوسطة لون البشرة الداكنة
🤸🏼‍♂️;رجل كراطيه لهجة البشرة متوسطة الضوء
🤸🏽‍♂️;رجل كراطيه متوسطة لهجة الجلد
🧗‍♂️;رجل يتسلق
🧗🏿‍♂️;رجل يتسلق لون البشرة الداكنة
🧗🏻‍♂️;رجل يتسلق لون البشرة الفاتحة
🧗🏾‍♂️;رجل يتسلق لون البشرة الداكن المتوسط
🧗🏼‍♂️;رجل تسلق لهجة البشرة متوسطة الضوء
🧗🏽‍♂️;رجل يتسلق لون البشرة المتوسطة
👷‍♂️;عامل بناء رجل
👷🏿‍♂️;رجل عامل البناء لون البشرة الداكنة
👷🏻‍♂️;رجل عامل البناء ضوء البشرة
👷🏾‍♂️;رجل عامل البناء المتوسطة لهجة البشرة الداكنة
👷🏼‍♂️;رجل عامل البناء متوسطة ضوء البشرة لهجة
👷🏽‍♂️;رجل عامل البناء المتوسطة الجلد لهجة
👨‍🍳;رجل طبخ
👨🏿‍🍳;رجل طبخ لون البشرة الداكنة
👨🏻‍🍳;رجل طبخ لون البشرة الفاتحة
👨🏾‍🍳;رجل طهي متوسطة البشرة الداكنة
👨🏼‍🍳;رجل طبخ البشرة متوسطة خفيفة
👨🏽‍🍳;رجل طبخ متوسطة لون البشرة
🕺;رجل يرقص
🕺🏿;رجل يرقص لون البشرة الداكنة
🕺🏻;رجل رقص ضوء البشرة لهجة
🕺🏾;رجل يرقص لون البشرة الداكن المتوسط
🕺🏼;رجل يرقص لون البشرة خفيفة ومتوسطة
🕺🏽;رجل رقص متوسط ​​لهجة الجلد
👨🏿;رجل لهجة الجلد الداكن
🕵️‍♂️;رجل مخبر
🕵🏿‍♂️;رجل المباحث لون البشرة الداكنة
🕵🏻‍♂️;رجل المخبر ضوء الجلد لهجة
🕵🏾‍♂️;رجل المباحث متوسطة لون البشرة الداكنة
🕵🏼‍♂️;رجل المباحث متوسطة ضوء البشرة لهجة
🕵🏽‍♂️;رجل المباحث المتوسطة لون البشرة
🧝‍♂️;رجل قزم
🧝🏿‍♂️;رجل قزم لون البشرة الداكن
🧝🏻‍♂️;رجل قزم ضوء البشرة
🧝🏾‍♂️;رجل قزم متوسطة لون البشرة الداكنة
🧝🏼‍♂️;رجل قزم متوسطة لون البشرة الفاتحة
🧝🏽‍♂️;رجل قزم متوسطة الجلد لهجة
🤦‍♂️;رجل يواجه الوجوه
🤦🏿‍♂️;تغطية الوجه باليد لرجل البشرة الداكنة
🤦🏻‍♂️;تغطية الوجه باليد لرجل ضوء الوجه البشرة
🤦🏾‍♂️;تغطية الوجه باليد لرجل متوسطة لون البشرة الداكنة
🤦🏼‍♂️;تغطية الوجه باليد لرجل البشرة خفيفة متوسطة
🤦🏽‍♂️;تغطية الوجه باليد لرجل متوسطة لون البشرة
👨‍🏭;رجل عامل مصنع
👨🏿‍🏭;رجل عامل عامل لون البشرة الداكنة
👨🏻‍🏭;رجل عامل مصنع خفيف لون البشرة
👨🏾‍🏭;رجل عامل مصنع متوسط ​​البشرة الداكنة
👨🏼‍🏭;رجل عامل مصنع المتوسطة-- ضوء البشرة
👨🏽‍🏭;رجل عامل عامل متوسط ​​لون البشرة
🧚‍♂️;رجل جنية
🧚🏿‍♂️;رجل جنية لون البشرة الداكنة
🧚🏻‍♂️;رجل جنية خفيفة لون البشرة
🧚🏾‍♂️;رجل جنية متوسطة لون البشرة الداكنة
🧚🏼‍♂️;رجل خرافية متوسطة البشرة خفيفة
🧚🏽‍♂️;رجل جنية متوسطة لون البشرة
👨‍🌾;رجل مزارع
👨🏿‍🌾;رجل مزارع لون البشرة الداكنة
👨🏻‍🌾;رجل مزارع ضوء لون البشرة
👨🏾‍🌾;رجل مزارع متوسطة لون البشرة الداكنة
👨🏼‍🌾;رجل مزارع متوسطة لون البشرة الفاتحة
👨🏽‍🌾;رجل مزارع متوسطة لون البشرة
👨‍🚒;رجل اطفاء
👨🏿‍🚒;رجل اطفاء البشرة الداكنة نغمة
👨🏻‍🚒;رجل اطفاء ضوء البشرة
👨🏾‍🚒;رجل اطفاء متوسطة لون البشرة الداكنة
👨🏼‍🚒;رجل اطفاء متوسطة لون البشرة الفاتحة
👨🏽‍🚒;رجل اطفاء متوسطة الجلد لهجة
🙍‍♂️;رجل عبوس
🙍🏿‍♂️;رجل عبس البشرة الداكنة نغمة
🙍🏻‍♂️;رجل عبوس ضوء البشرة لهجة
🙍🏾‍♂️;رجل عبوس متوسطة البشرة الداكنة لهجة
🙍🏼‍♂️;رجل عبوس متوسطة البشرة خفيفة
🙍🏽‍♂️;رجل عبوس المتوسطة الجلد لهجة
🧞‍♂️;رجل الجني
🙅‍♂️;رجل لفتة لا
🙅🏿‍♂️;رجل إيماءة لا لون البشرة الداكن
🙅🏻‍♂️;رجل إيماءة لا لون البشرة الفاتحة
🙅🏾‍♂️;رجل إيماءة أي لهجة البشرة متوسطة الظلام
🙅🏼‍♂️;رجل إيماءة أي لهجة البشرة متوسطة الضوء
🙅🏽‍♂️;رجل إيماءة أي لهجة الجلد المتوسطة
🙆‍♂️;رجل مشيرا موافق
🙆🏿‍♂️;رجل إيماء موافق لهجة البشرة الداكنة
🙆🏻‍♂️;إيماء رجل موافق ضوء لون البشرة
🙆🏾‍♂️;إيماء رجل طيب متوسطة لون البشرة الداكنة
🙆🏼‍♂️;إيماء رجل طيب متوسطة لون البشرة الفاتحة
🙆🏽‍♂️;إيماء رجل موافق متوسط ​​لون البشرة
💇‍♂️;رجل يحصل على حلاقة
💇🏿‍♂️;رجل يحصل على حلاقة البشرة الداكنة
💇🏻‍♂️;رجل الحصول على حلاقة ضوء البشرة لهجة
💇🏾‍♂️;رجل يحصل على حلاقة متوسطة الجلد الداكن لهجة
💇🏼‍♂️;رجل يحصل على حلاقة متوسطة البشرة خفيفة
💇🏽‍♂️;رجل يحصل على حلاقة متوسطة لون البشرة
💆‍♂️;رجل يحصل على التدليك
💆🏿‍♂️;رجل يحصل على تدليك لون البشرة الداكنة
💆🏻‍♂️;رجل يحصل على تدليك ضوء لون البشرة
💆🏾‍♂️;اْنسان، الإحضار، دلك، متوسط ​​- داكن، لهجة الجلد
💆🏼‍♂️;اْنسان، الإحضار، تدلل، بشرة خفيفة، تناغم الجلد
💆🏽‍♂️;اْنسان، الإحضار، تدليك، متوسط، لهجة الجلد
🏌️‍♂️;رجل الجولف
🏌🏿‍♂️;رجل الغولف لهجة الجلد الداكن
🏌🏻‍♂️;رجل لعب الغولف ضوء لهجة
🏌🏾‍♂️;رجل الجولف المتوسطة لهجة الجلد الداكن
🏌🏼‍♂️;رجل رياضة الغولف متوسطة ضوء البشرة لهجة
🏌🏽‍♂️;رجل رياضة الغولف لهجة المتوسطة
💂‍♂️;حارس رجل
💂🏿‍♂️;رجل حراسة لون البشرة الداكنة
💂🏻‍♂️;رجل حارس ضوء لهجة الجلد
💂🏾‍♂️;رجل حراسة متوسطة الجلد الداكن لهجة
💂🏼‍♂️;حارس رجل لهجة البشرة متوسطة الضوء
💂🏽‍♂️;رجل حراسة متوسطة الجلد لهجة
👨‍⚕️;عامل صحي
👨🏿‍⚕️;رجل الصحة عامل البشرة الداكنة نغمة
👨🏻‍⚕️;رجل عامل صحي خفيف لون البشرة
👨🏾‍⚕️;رجل الصحة عامل متوسط ​​لون البشرة الداكنة
👨🏼‍⚕️;رجل عامل صحي متوسطة البشرة خفيفة
👨🏽‍⚕️;رجل الصحة عامل المتوسطة الجلد لهجة
🧘‍♂️;رجل في موقف لوتس
🧘🏿‍♂️;رجل في موقف لوتس الظلام لون البشرة
🧘🏻‍♂️;رجل في اللوتس موقف لون البشرة الفاتحة
🧘🏾‍♂️;رجل في وضع اللوتس متوسطة الجلد الداكن لهجة
🧘🏼‍♂️;رجل في وضع اللوتس متوسطة لون البشرة الفاتحة
🧘🏽‍♂️;رجل في وضع اللوتس متوسطة لون البشرة
🧖‍♂️;رجل في غرفة مشبع بالبخار
🧖🏿‍♂️;رجل في غرفة مشبع بالبخار لهجة الجلد الداكن
🧖🏻‍♂️;رجل في غرفة مشبع بالبخار ضوء لهجة الجلد
🧖🏾‍♂️;رجل في غرفة مشبع بالبخار متوسطة لهجة البشرة الداكنة
🧖🏼‍♂️;رجل في غرفة مشبع بالبخار متوسطة لون البشرة الفاتحة
🧖🏽‍♂️;رجل في غرفة مشبع بالبخار متوسطة لهجة الجلد
🕴;رجل يرتدي بدلة رجال الأعمال
🕴🏿;رجل في دعوى يرتفع نغمة الجلد الداكن
🕴🏻;رجل يرتدي بدلة ضوء البشرة الفاتحة
🕴🏾;رجل يرتدي بدلة متوسطة الجلد الداكن
🕴🏼;رجل يرتدي بدلة خفيفة متوسطة الجلد
🕴🏽;رجل يرتدي بدلة متوسطة لون البشرة
🤵;رجل في ملابس السهرة
🤵🏿;رجل في بدلة السهرة السوداء داكنة
🤵🏻;رجل في الجلد لهجة خفيفة الجلد الفاتح
🤵🏾;رجل في بدلة عاكسة متوسطة داكنة الجلد
🤵🏼;رجل في بدلة السهرة متوسطة الجلد خفيفة
🤵🏽;رجل في الجلد لهجة متوسطة الجلد
👨‍⚖️;رجل القاضي
👨🏿‍⚖️;رجل يحكم لون البشرة الداكنة
👨🏻‍⚖️;رجل القاضي ضوء لون البشرة
👨🏾‍⚖️;رجل يحكم البشرة متوسطة الداكنة
👨🏼‍⚖️;رجل يحكم البشرة خفيفة ومتوسطة
👨🏽‍⚖️;رجل يحكم متوسط ​​لون البشرة
🤹‍♂️;رجل شعوذة
🤹🏿‍♂️;رجل شعوذة البشرة الداكنة نغمة
🤹🏻‍♂️;رجل شعوذة ضوء البشرة لهجة
🤹🏾‍♂️;رجل شعوذة متوسطة لون البشرة الداكنة
🤹🏼‍♂️;رجل شعوذة متوسطة البشرة خفيفة
🤹🏽‍♂️;رجل شعوذة متوسطة لون البشرة
🏋️‍♂️;رجل يرفع الأثقال
🏋🏿‍♂️;رجل يرفع الأوزان لون البشرة الداكنة
🏋🏻‍♂️;رجل رفع الأوزان الخفيفة لون البشرة
🏋🏾‍♂️;رجل يرفع الأوزان متوسطة لون البشرة الداكنة
🏋🏼‍♂️;رجل رفع الأوزان متوسطة لون البشرة الفاتحة
🏋🏽‍♂️;رجل يرفع الأوزان متوسطة لون البشرة
👨🏻;رجل خفيف لون البشرة
🧙‍♂️;رجل بركه
🧙🏿‍♂️;رجل ساحر لون البشرة الداكنة
🧙🏻‍♂️;مان ساحر لون البشرة الفاتح
🧙🏾‍♂️;رجل ساحر المتوسطة لهجة البشرة الداكنة
🧙🏼‍♂️;مان ماجى متوسطة البشرة فاتحة اللون
🧙🏽‍♂️;رجل متوسط ​​البشرة لهجة
👨‍🔧;رجل ميكانيكي
👨🏿‍🔧;رجل ميكانيكي لون البشرة الداكنة
👨🏻‍🔧;رجل ميكانيكي خفيف لون البشرة
👨🏾‍🔧;رجل ميكانيكي متوسطة لون البشرة الداكنة
👨🏼‍🔧;رجل ميكانيكي متوسطة البشرة خفيفة
👨🏽‍🔧;رجل ميكانيكي متوسط ​​لون البشرة
👨🏾;رجل لهجة البشرة متوسطة الظلام
👨🏼;رجل لهجة البشرة متوسطة الضوء
👨🏽;رجل متوسط ​​لون البشرة
🚵‍♂️;رجل ركوب الدراجات الجبلية
🚵🏿‍♂️;رجل ركوب الدراجات الجبلية لون البشرة الداكن
🚵🏻‍♂️;رجل ركوب الدراجات الجبلية لون البشرة الفاتح
🚵🏾‍♂️;رجل ركوب الدراجات الجبلية متوسطة الجلد الداكن لهجة
🚵🏼‍♂️;رجل ركوب الدراجات الجبلية متوسطة ضوء البشرة
🚵🏽‍♂️;رجل ركوب الدراجات الجبلية متوسطة لهجة الجلد
👨‍💼;رجل عامل مكتب
👨🏿‍💼;رجل مكتب عامل البشرة الداكنة نغمة
👨🏻‍💼;رجل عامل مكتب ضوء الجلد لهجة
👨🏾‍💼;رجل مكتب عامل المتوسطة-لون البشرة الداكنة
👨🏼‍💼;رجل مكتب عامل متوسطة ضوء البشرة لهجة
👨🏽‍💼;رجل عامل مكتب المتوسطة الجلد لهجة
👨‍✈️;رجل طيار
👨🏿‍✈️;رجل طيار لون البشرة الداكنة
👨🏻‍✈️;رجل طيار خفيف لون البشرة
👨🏾‍✈️;رجل طيار متوسطة لون البشرة الداكنة
👨🏼‍✈️;رجل طيار متوسطة البشرة خفيفة
👨🏽‍✈️;رجل طيار متوسطة لون البشرة
🤾‍♂️;رجل يلعب كرة اليد
🤾🏿‍♂️;رجل يلعب كرة اليد لون البشرة الداكنة
🤾🏻‍♂️;اْنسان، لعب، كرة اليد، أضاء، تناغم الجلد
🤾🏾‍♂️;رجل يلعب كرة اليد المتوسطة لهجة البشرة الداكنة
🤾🏼‍♂️;رجل يلعب كرة اليد متوسطة البشرة خفيفة
🤾🏽‍♂️;رجل يلعب كرة اليد متوسطة لون البشرة
🤽‍♂️;رجل يلعب كرة الماء
🤽🏿‍♂️;اْنسان، لعب، أضفى على القماش تموجا صقي، بولو
🤽🏻‍♂️;اْنسان، لعب، أضفى على القماش تموجا صقي، بولو
🤽🏾‍♂️;اْنسان، لعب، أضفى على القماش تموجا صقي، بولو
🤽🏼‍♂️;اْنسان، لعب، أضفى على القماش تموجا صقي، بولو
🤽🏽‍♂️;رجل يلعب ماء كرة الماء متوسطة لهجة الجلد
👮‍♂️;رجل شرطة ضابط
👮🏿‍♂️;رجل شرطة ضابط لون البشرة الداكنة
👮🏻‍♂️;رجل شرطة ضابط خفيف لون البشرة
👮🏾‍♂️;رجل ضابط شرطة متوسطة لون البشرة الداكنة
👮🏼‍♂️;رجل ضابط شرطة متوسطة البشرة خفيفة
👮🏽‍♂️;رجل ضابط شرطة متوسطة لون البشرة
🙎‍♂️;رجل العبوس
🙎🏿‍♂️;رجل يرتدي لون البشرة الداكنة
🙎🏻‍♂️;رجل يرتدي ضوء البشرة الفاتحة
🙎🏾‍♂️;رجل يلعب عبوة متوسطة داكنة اللون
🙎🏼‍♂️;رجل عبوس متوسطة البشرة خفيفة
🙎🏽‍♂️;رجل يصبغ لون البشرة المتوسطة
🙋‍♂️;رجل يرفع يده
🙋🏿‍♂️;رجل يرفع يده لون البشرة الداكنة
🙋🏻‍♂️;رجل رفع يد لون البشرة الفاتحة
🙋🏾‍♂️;رجل رفع اليد المتوسطة لهجة الجلد الداكن
🙋🏼‍♂️;رجل رفع يد متوسطة ضوء البشرة لهجة
🙋🏽‍♂️;رجل يرفع يد متوسطة لهجة الجلد
🚣‍♂️;قارب تجديف رجل
🚣🏿‍♂️;رجل زورق زورق لون البشرة الداكنة
🚣🏻‍♂️;رجل زورق زورق خفيف لون البشرة
🚣🏾‍♂️;رجل زورق التجديف متوسطة لون البشرة الداكنة
🚣🏼‍♂️;رجل زورق التجديف متوسطة لون البشرة الفاتحة
🚣🏽‍♂️;رجل زورق تجديف متوسط ​​لون البشرة
🏃‍♂️;رجل يركض
🏃🏿‍♂️;رجل يدير لون البشرة الداكنة
🏃🏻‍♂️;رجل يدير لون البشرة الفاتحة
🏃🏾‍♂️;رجل يدير لون بشرته متوسطة داكنة
🏃🏼‍♂️;اْنسان، ركض، تناغم الجلد
🏃🏽‍♂️;رجل يدير متوسطة لون البشرة
👨‍🔬;رجل عالم
👨🏿‍🔬;رجل عالم البشرة الداكنة لهجة
👨🏻‍🔬;رجل عالم خفيف لون البشرة
👨🏾‍🔬;رجل عالم متوسطة اللهجة الجلد الداكن
👨🏼‍🔬;رجل رجل متوسطة البشرة خفيفة
👨🏽‍🔬;رجل عالم متوسط ​​لون البشرة
🤷‍♂️;رجل يكافح
🤷🏿‍♂️;رجل يتجاهل لون البشرة الداكنة
🤷🏻‍♂️;رجل يتجاهل لون البشرة الفاتح
🤷🏾‍♂️;رجل يتجاهل متوسطة لون البشرة الداكنة
🤷🏼‍♂️;رجل لا يهتم بنبرة البشرة المتوسطة الخفيفة
🤷🏽‍♂️;رجل يعير البشرة المتوسطة
👨‍🎤;مغني رجل
👨🏿‍🎤;رجل مغنية لون البشرة الداكنة
👨🏻‍🎤;رجل مغني لون البشرة الفاتح
👨🏾‍🎤;رجل المغني متوسطة الجلد الداكن لهجة
👨🏼‍🎤;رجل المغني متوسطة البشرة خفيفة
👨🏽‍🎤;رجل مغني متوسطة لهجة الجلد
👨‍🎓;رجل طالب
👨🏿‍🎓;رجل طالب لون البشرة الداكن
👨🏻‍🎓;رجل طالب ضوء البشرة لهجة
👨🏾‍🎓;رجل طالب متوسطة لون البشرة الداكنة
👨🏼‍🎓;رجل طالب متوسطة لون البشرة الفاتحة
👨🏽‍🎓;رجل طالب متوسطة لون البشرة
🏄‍♂️;رجل ركوب الأمواج
🏄🏿‍♂️;رجل يتصفح لون البشرة الداكنة
🏄🏻‍♂️;رجل يتصفح لون البشرة الفاتحة
🏄🏾‍♂️;رجل تصفح متوسطة البشرة الداكنة لهجة
🏄🏼‍♂️;رجل تصفح متوسطة لون البشرة الفاتحة
🏄🏽‍♂️;رجل تصفح متوسطة لون البشرة
🏊‍♂️;رجل يسبح
🏊🏿‍♂️;رجل يسبح بشرة داكنة اللون
🏊🏻‍♂️;رجل السباحة ضوء البشرة لهجة
🏊🏾‍♂️;رجل السباحة لهجة متوسطة الجلد الداكن
🏊🏼‍♂️;رجل السباحة لهجة البشرة متوسطة الضوء
🏊🏽‍♂️;رجل السباحة متوسط ​​لون البشرة
👨‍🏫;معلم رجل
👨🏿‍🏫;رجل معلم لون البشرة الداكنة
👨🏻‍🏫;رجل معلم خفيف لون البشرة
